miRNA	gene.ID	gene.Symbol	invFC	cor.fc	cor.sam	q	db	db.sum	q.mirtarbase	q.targetscan.default	q.targetscan.noncons	q.tarbase	q.mirwalk	q.mirdip	gene.log2FC	gene.log2cpm	gene.pval	gene.padj	mir.log2FC	mir.log2cpm	mir.pval	mir.padj	iact.pval	iact.padj	gene.and.mir.de
5	hsa-let-7e-5p	ENSG00000030419	IKZF2	TRUE	-0.831695623079719	-0.932292050339572	0.9856361	000101	2	0	0	0	0.9	0	0.9856361	-0.866453796113886	88.2141043184415	0.00186750059132147	0.0393090565643844	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00380178716852341	0.00432324301964903	TRUE
11	hsa-let-7e-5p	ENSG00000077157	PPP1R12B	TRUE	-0.730870607594114	-0.402847131482679	1	000011	2	0	0	0	0	1	0.9837063	-1.79036156048294	3208.84566367764	1.02723222218915e-06	0.000129733387120006	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00193531380942413	0.00337928151401335	TRUE
17	hsa-let-7e-5p	ENSG00000091656	ZFHX4	TRUE	-0.409761766054325	-0.848821555277409	0.9818035	000101	2	0	0	0	0.9	0	0.9818035	-0.693363584017699	975.928077423435	0.000241842333109685	0.00963452525164832	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00217612891031162	0.00345876490670756	TRUE
26	hsa-let-7e-5p	ENSG00000104722	NEFM	TRUE	-0.776094467992803	-0.539295901335921	0.9861367	010001	2	0	0.88	0	0	0	0.9861367	-1.81668320069073	212.331263538307	0.000388421407444702	0.0130193092689504	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00232270798464664	0.00345876490670756	TRUE
29	hsa-let-7e-5p	ENSG00000109819	PPARGC1A	TRUE	0.10665244628978	-0.266084732586438	1	000011	2	0	0	0	0	1	0.9864468	-1.54142681834513	130.402389228722	0.00118994506982773	0.02976161281276	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00312423164702967	0.00382553111517616	TRUE
62	hsa-let-7e-5p	ENSG00000151320	AKAP6	TRUE	-0.614190664794372	-0.505370137624158	0.9852971	010001	2	0	0.89	0	0	0	0.9852971	-1.26111379574739	210.483829272896	0.0015390200327781	0.0345997487997338	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00347330660998004	0.00409837863287538	TRUE
87	hsa-let-7e-5p	ENSG00000172340	SUCLG2	TRUE	0.289811614513083	-0.492367712503223	0.9864402	010001	2	0	0.87	0	0	0	0.9864402	-0.513274709764107	1054.64211422013	0.00112367417754923	0.0286070568284371	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00305796075475117	0.00378736741668768	TRUE
91	hsa-let-7e-5p	ENSG00000173068	BNC2	TRUE	-0.993651504804428	-0.80772513655255	0.9847334	000011	2	0	0	0	0	0.923076923076923	0.9847334	-0.70518271793474	491.700247423168	0.000363197703571619	0.0126384233926986	0.526102108128465	12.9796328736379	0.00193428657720194	0.0301121369856303	0.00229748428077356	0.00345876490670756	TRUE
117	hsa-miR-101-3p	ENSG00000038427	VCAN	TRUE	-0.68094236581869	-0.824979123660959	0.9858728	000101	2	0	0	0	0.9	0	0.9858728	3.05213874700511	2288.78739376238	0.000525887875221726	0.0162069081545605	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.000957255666506003	0.00298611022792575	TRUE
118	hsa-miR-101-3p	ENSG00000073756	PTGS2	TRUE	-0.532997493302367	-0.595841813964093	0.99	100001	2	0.99	0	0	0	0	0.968058	1.23907942655186	2410.35522236516	8.00656274301721e-05	0.00419270492908731	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.000511433418714449	0.00245046367088569	TRUE
122	hsa-miR-101-3p	ENSG00000077147	TM9SF3	TRUE	-0.43967661913478	-0.782142259577033	0.98056	000101	2	0	0	0	0.9	0	0.98056	0.454446728217823	5484.45264167535	0.00107378264366983	0.0276649360315095	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.00150515043495411	0.00309950028346767	TRUE
127	hsa-miR-101-3p	ENSG00000106080	FKBP14	TRUE	-0.314428935527541	-0.564783207132592	0.9	100000	1	0.9	0	0	0	0	0	0.72008830117506	1178.57608207877	0.000283029698430925	0.0108576155413939	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.000714397489715202	0.00285550515059318	TRUE
152	hsa-miR-101-3p	ENSG00000150630	VEGFC	TRUE	-0.0195425562229131	-0.62257714983252	0.99	100000	1	0.99	0	0	0	0	0	1.09875508029373	326.615472074053	0.00200408178331907	0.0411818793590474	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.00243544957460335	0.00345876490670756	TRUE
164	hsa-miR-101-3p	ENSG00000175183	CSRP2	TRUE	-0.621588975323983	-0.0888659259814627	0.9667215	000101	2	0	0	0	0.9	0	0.9667215	0.985627510551768	1059.25317663567	3.19250558499009e-09	1.0545091524575e-06	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.000431370983789862	0.00226380776707909	TRUE
171	hsa-miR-101-3p	ENSG00000197780	TAF13	TRUE	-0.240576393208694	-0.680462694499603	0.9	100000	1	0.9	0	0	0	0	0	0.881016501658944	1494.57865169619	9.9768408208511e-05	0.0049622263881932	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.000531136199492788	0.00248598231242655	TRUE
172	hsa-miR-101-3p	ENSG00000198517	MAFK	TRUE	-0.939430135751359	-0.275615845404804	0.9847813	000101	2	0	0	0	0.9	0	0.9847813	0.435908418511238	1408.035627209	0.00265955938443474	0.0497248824242211	-0.693320051627015	10.8844565455271	0.000431367791284277	0.0103528269908227	0.00309092717571902	0.00380224036125879	TRUE
188	hsa-miR-10395-3p	ENSG00000164733	CTSB	TRUE	-0.178580044260312	-0.447239222798834	0.9860446	000011	2	0	0	0	0	0.923076923076923	0.9860446	-0.56245987335234	43895.5440120395	0.00125431131682803	0.0303152690119675	1.23749614691415	7.11593983621633	0.00156733255283311	0.0265524573656433	0.00282164386966114	0.00360591301132335	TRUE
191	hsa-miR-10395-3p	ENSG00000171408	PDE7B	TRUE	0.108910690788557	-0.236425950382808	0.9863143	000011	2	0	0	0	0	0.923076923076923	0.9863143	-1.21625724033205	273.362848673739	0.000365947207380575	0.0126384233926986	1.23749614691415	7.11593983621633	0.00156733255283311	0.0265524573656433	0.00193327976021368	0.00337928151401335	TRUE
210	hsa-miR-10395-5p	ENSG00000113494	PRLR	TRUE	-0.0991366626017302	-0.805678797731535	1	000011	2	0	0	0	0	1	0.9857644	-1.75361570255398	26.1889046566069	0.000871764385459319	0.0234938678106421	1.23870670199923	7.1173095264441	0.00148276271621459	0.0258809492284729	0.00235452710167391	0.00345876490670756	TRUE
231	hsa-miR-10395-5p	ENSG00000163644	PPM1K	TRUE	-0.780349143621009	-0.706030186772138	1	000011	2	0	0	0	0	1	0.9854401	-0.627506604872017	963.933142649742	0.00038494169010187	0.0130186563694835	1.23870670199923	7.1173095264441	0.00148276271621459	0.0258809492284729	0.00186770440631646	0.00334396285283301	TRUE
252	hsa-miR-122-5p	ENSG00000030419	IKZF2	TRUE	-0.792009522196113	-0.909641527215724	1	000011	2	0	0	0	0	1	0.984242	-0.866453796113886	88.2141043184415	0.00186750059132147	0.0393090565643844	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00186750059132149	0.00334396285283301	TRUE
262	hsa-miR-122-5p	ENSG00000100105	PATZ1	TRUE	0.984573434252401	-0.669140417192999	0.9	100000	1	0.9	0	0	0	0	0	-0.64325524874049	305.118396238018	0.00261458427991257	0.0490977765216235	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00261458427991259	0.00351548230700914	TRUE
264	hsa-miR-122-5p	ENSG00000100321	SYNGR1	TRUE	0.370538902700923	-0.857363458965238	0.9859477	000011	2	0	0	0	0	0.923076923076923	0.9859477	-0.56433397648263	2440.1629043445	0.00141713470022225	0.0329522187874784	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00141713470022227	0.00308876759881071	TRUE
265	hsa-miR-122-5p	ENSG00000100350	FOXRED2	TRUE	0.751777598141854	-0.528898819689202	1	000011	2	0	0	0	0	1	0.9863399	-0.846015012463845	850.210736749993	2.65552143652738e-06	0.000292379719190989	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	2.65552143654403e-06	0.000232497368527145	TRUE
266	hsa-miR-122-5p	ENSG00000103994	ZNF106	TRUE	0.584258374603575	-0.656024608012882	0.9	100000	1	0.9	0	0	0	0	0	-0.549505725997752	3633.66046151672	0.000169475286900888	0.00737561029005824	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.000169475286900905	0.00191162378699241	TRUE
275	hsa-miR-122-5p	ENSG00000111962	UST	TRUE	-0.721073702421606	-0.552807089385425	1	000011	2	0	0	0	0	1	0.9861131	-0.6855923659062	1557.69737608241	0.00232719341985531	0.0460250445602198	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00232719341985533	0.00345876490670756	TRUE
286	hsa-miR-122-5p	ENSG00000139625	MAP3K12	TRUE	0.335392026861886	-0.802544795669737	0.99	001001	2	0	0	0.99	0	0	0.9850242	-0.776593204882954	825.489577290542	0.00200442775641381	0.0411818793590474	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00200442775641383	0.00340727119257574	TRUE
290	hsa-miR-122-5p	ENSG00000145349	CAMK2D	TRUE	-0.809645207423078	-0.956212303073495	0.9857094	000011	2	0	0	0	0	0.923076923076923	0.9857094	-0.767530959498428	4116.38959277596	4.92773195494672e-05	0.00283388585016177	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	4.92773195494838e-05	0.00082724240293021	TRUE
298	hsa-miR-122-5p	ENSG00000156804	FBXO32	TRUE	-0.632806830933061	-0.462172967152657	0.9863552	000011	2	0	0	0	0	0.923076923076923	0.9863552	-1.06051479009837	5891.27641336092	0.0019525765927989	0.040660680059748	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00195257659279892	0.00337928151401335	TRUE
300	hsa-miR-122-5p	ENSG00000159842	ABR	TRUE	0.427800306294051	-0.736302909025849	0.9856158	000011	2	0	0	0	0	0.923076923076923	0.9856158	-0.591441262300436	4938.71950586077	0.000378469472144835	0.0129666056919409	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.000378469472144852	0.00226380776707909	TRUE
305	hsa-miR-122-5p	ENSG00000164116	GUCY1A1	TRUE	0.116477233242796	-0.170962478705178	0.9863034	001001	2	0	0	0.92	0	0	0.9863034	-1.11610777950994	3911.45716089491	0.00262323425454233	0.049188506065523	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00262323425454235	0.00352048309665745	TRUE
314	hsa-miR-122-5p	ENSG00000173068	BNC2	TRUE	-0.330370074435852	-0.882799033750544	0.9852739	000101	2	0	0	0	0.9	0	0.9852739	-0.70518271793474	491.700247423168	0.000363197703571619	0.0126384233926986	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.000363197703571636	0.00226089147720742	TRUE
315	hsa-miR-122-5p	ENSG00000175899	A2M	TRUE	-0.0258333100613878	-0.512958939118305	0.9	100000	1	0.9	0	0	0	0	0	-2.41243696945957	4032.80759691283	1.05716065685297e-09	3.68063340042703e-07	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	1.05716067350174e-09	2.81416171286164e-07	TRUE
318	hsa-miR-122-5p	ENSG00000183098	GPC6	TRUE	0.4989418625231	-0.580520829128011	0.9855383	000011	2	0	0	0	0	0.923076923076923	0.9855383	-0.846188370051904	207.246914561854	0.000322856047461373	0.0116826730432511	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	0.00032285604746139	0.00226089147720742	TRUE
324	hsa-miR-122-5p	ENSG00000197256	KANK2	TRUE	-0.126752418907726	-0.598918238395061	1	000011	2	0	0	0	0	1	0.9853796	-0.803810215417353	7256.06215943452	8.61569395076664e-05	0.0043524458617167	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	8.6156939507683e-05	0.00120710406826028	TRUE
325	hsa-miR-122-5p	ENSG00000198846	TOX	TRUE	-0.387635967610628	-0.939829785752908	0.9864397	000011	2	0	0	0	0	0.961538461538462	0.9864397	-1.17581887967076	114.211749265929	9.6723145468839e-06	0.000803862941890054	3.88950985722435	8.01422944110907	1.66487713434469e-17	9.58969229382541e-15	9.67231454690055e-06	0.000402307833185145	TRUE
342	hsa-miR-125a-3p	ENSG00000091436	MAP3K20	TRUE	-0.242739675461605	-0.155090104425393	1	000011	2	0	0	0	0	1	0.9843728	-0.660987122092962	3919.46593752278	0.000513237681934147	0.0159756503176958	0.643708150320365	4.76850861813738	0.0022104207522987	0.031053715934733	0.00272365843423285	0.00355266364997146	TRUE
346	hsa-miR-125a-3p	ENSG00000100350	FOXRED2	TRUE	0.211423154670384	-0.340892523900804	0.9846398	000011	2	0	0	0	0	0.923076923076923	0.9846398	-0.846015012463845	850.210736749993	2.65552143652738e-06	0.000292379719190989	0.643708150320365	4.76850861813738	0.0022104207522987	0.031053715934733	0.00221307627373523	0.00345876490670756	TRUE
